		Institution	Location	Academic	Employer	Citations	H	International	Score
118=	91=	Universidad de Chile	Chile	80.3	69.9	65.8	51.3	36.8	72.8
120=	100=	The Ohio State University	United States	74.7	63.8	83.9	76.5	61	72.7
120=	123	Universit¨¦ de Montr¨¦al 	Canada	76.1	64	94.6	57.1	56.6	72.7
122	118=	University of Illinois at Urbana-Champaign	United States	75.9	63.9	81.6	76.5	48	72.6
123	104	University of Notre Dame	United States	76.9	62.7	78.2	79.3	37.5	72.4
124=	118=	Central European University	Hungary	78.9	62.9	75.5	66.3	35.7	72.3
124=	69	The New School	United States	83.1	63	74.3	57.1		72.3
126=	137=	University of Technology Sydney	Australia	73.5	76.1	82.6	51.3	55.9	72.2
126=	178=	University of Warsaw 	Poland	79.6	65.4	61.2	44.2	68.1	72.2
128=	128=	Universit¨¦ catholique de Louvain (UCLouvain)	Belgium	80.4	62.1	73.9	51.3	40.2	72.1
128=	149=	University of Groningen	Netherlands	76.7	57.7	81.6	70.1	64.2	72.1
130	124=	The Hong Kong Polytechnic University	Hong Kong SAR	80.1	82.3	77.7	-	33.3	72
131=	124=	City University of Hong Kong	Hong Kong SAR	77.3	78.3	77.3	35	27.8	71.9
131=	109	"University of North Carolina, Chapel Hill"	United States	77.7	60.1	80.5	73.4	34.7	71.9
133	149=	Ghent University	Belgium	77.3	55.6	77.6	70.1	63.6	71.8
134	143	University of Reading	United Kingdom	73.9	64.3	81.4	73.4	56	71.6
135=	118=	Beijing Normal University 	China (Mainland)	80.9	62.8	76.8	44.2	25.7	71.5
135=	140=	Lund University	Sweden	76.3	64.8	78.9	57.1	51.2	71.5
135=	159=	Newcastle University	United Kingdom	72.9	70.6	81.7	66.3	50.4	71.5
138=	157=	The University of Arizona	United States	72.9	60.7	80.9	76.5	73.9	71.4
138=	102=	University of Virginia	United States	76.1	63.8	76.9	79.3	25.5	71.4
138=	144	Uppsala University	Sweden	78.1	54	76.1	66.3	60.8	71.4
141=	178=	Charles University	Czech Republic	76.6	62.7	71	44.2	82.7	71.3
141=	131	Michigan State University	United States	72.9	65.8	83.4	73.4	51.8	71.3
143=	98=	"Goldsmiths, University of London"	United Kingdom	80.3	59.9	78.8	62.1	9	71.2
143=	168=	The University of Western Australia	Australia	71.1	74.9	79.4	62.1	58.4	71.2
145=	156	Al-Farabi Kazakh National University	Kazakhstan	80.8	79.7	53.2	22.1	17.7	71
145=	142	Universidad Nacional de Colombia	Colombia	79.6	70.1	59.7	44.2	28	71
147=	135=	Keio University	Japan	79.9	71.9	62.2	44.2	12.7	70.9
